run_id,extraction_id,zone_number,zone_name,source_line_number,unit_system,sample_index,day_of_year,day_type,sim_time_seconds,temperature_k,reference_pressure_pa,air_density_kg_m3
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,42,1,,12600,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,43,1,,12900,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,44,1,,13200,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,45,1,,13500,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,46,1,,13800,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,47,1,,14100,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,48,1,,14400,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,49,1,,14700,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,50,1,,15000,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,51,1,,15300,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,52,1,,15600,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,53,1,,15900,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,54,1,,16200,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,55,1,,16500,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,56,1,,16800,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,57,1,,17100,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,58,1,,17400,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,59,1,,17700,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,60,1,,18000,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,61,1,,18300,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,62,1,,18600,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,63,1,,18900,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,64,1,,19200,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,65,1,,19500,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,66,1,,19800,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,67,1,,20100,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,68,1,,20400,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,69,1,,20700,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,70,1,,21000,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,71,1,,21300,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,72,1,,21600,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,73,1,,21900,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,74,1,,22200,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,75,1,,22500,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,76,1,,22800,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,77,1,,23100,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,78,1,,23400,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,79,1,,23700,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,80,1,,24000,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,81,1,,24300,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,82,1,,24600,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,83,1,,24900,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,84,1,,25200,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,85,1,,25500,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,86,1,,25800,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,87,1,,26100,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,88,1,,26400,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,89,1,,26700,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,90,1,,27000,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,91,1,,27300,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,92,1,,27600,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,93,1,,27900,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,94,1,,28200,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,95,1,,28500,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,96,1,,28800,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,97,1,,29100,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,98,1,,29400,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,99,1,,29700,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,100,1,,30000,293.15,-1.4222,1.2041
